"name","first_release","versions","archived","index"
"uroot","2005-01-12 09:05:00",14,TRUE,492
"zicounts","2005-01-12 09:09:00",5,TRUE,493
"far","2005-01-14 08:31:00",6,TRUE,494
"Rlab","2005-01-15 12:06:00",7,TRUE,495
"irr","2005-01-17 11:44:00",12,TRUE,496
"labdsv","2005-01-18 11:03:00",12,TRUE,497
"colorspace","2005-01-20 11:38:00",21,TRUE,498
"relsurv","2005-01-21 12:52:00",33,TRUE,499
"GPArotation","2005-01-21 17:24:00",12,TRUE,500
"mlmRev","2005-01-24 08:59:00",16,TRUE,501
"stepwise","2005-01-24 08:59:00",9,TRUE,502
